StartTime,RTT
722.615,0.016
722.651,0.017
722.689,0.075
722.785,0.017
722.822,0.015
722.857,0.018
722.895,0.015
722.931,0.018
722.97,0.014
723.004,0.019
723.043,0.016
723.08,0.015
723.115,0.016
723.152,0.015
723.187,0.018
723.226,0.015
723.261,0.015
723.297,0.014
723.331,0.017
723.369,0.014
723.403,0.017
723.441,0.017
723.478,0.014
723.513,0.014
723.548,0.015
723.584,0.017
723.621,0.016
723.658,0.017
723.695,0.068
723.784,0.017
723.822,0.017
723.859,0.017
723.897,0.023
723.94,0.014
723.975,0.014
724.009,0.017
724.047,0.014
724.081,0.014
724.116,0.014
724.15,0.017
724.188,0.014
724.223,0.015
724.259,0.017
724.296,0.017
724.334,0.017
724.372,0.017
724.409,0.017
724.446,0.016
724.483,0.016
724.519,-1
725.539,0.017
725.577,0.016
725.614,-1
726.634,0.017
726.671,0.014
726.705,0.014
726.74,0.016
726.776,0.018
726.815,0.018
726.853,0.014
726.887,-1
727.907,0.017
727.945,0.017
727.982,0.015
728.018,0.016
728.054,0.213
728.287,0.017
728.325,0.018
728.363,0.015
728.398,0.018
728.436,0.015
728.472,0.018
728.511,0.015
728.547,0.017
728.585,0.015
728.621,0.018
728.659,0.014
728.694,0.015
728.729,0.018
728.768,0.196
728.985,0.014
729.019,-1
730.039,-1
731.059,0.015
731.095,0.116
731.232,0.017
731.269,0.014
731.304,0.039
731.363,0.014
731.398,0.015
731.433,0.016
731.47,0.016
731.506,0.015
731.541,0.014
731.576,0.017
731.614,0.015
731.649,0.015
731.685,0.017
731.723,0.018
731.761,0.139
731.921,0.017
731.958,0.016
731.994,0.016
732.031,0.017
732.069,0.015
732.105,0.018
732.143,0.017
732.181,0.014
732.215,0.016
732.252,0.018
732.29,0.017
732.327,0.017
732.365,0.018
732.403,0.018
732.441,-1
733.461,0.014
733.496,0.015
733.531,0.201
733.753,0.016
733.79,0.018
733.829,0.016
733.865,0.018
733.903,0.02
733.944,0.018
733.983,0.017
734.02,0.016
734.057,0.014
734.092,0.015
734.128,0.014
734.162,0.014
734.197,0.014
734.232,0.016
734.268,0.015
734.304,0.016
734.341,-1
735.361,0.018
735.4,0.017
735.437,0.016
735.474,0.015
735.509,0.014
735.543,0.017
735.581,0.016
735.618,0.045
735.684,0.018
735.722,0.014
735.757,0.017
